Condition,Occurrences,Median_90d%,Mean_90d%,% Days ≥40% Return,% Days Positive
>20% below 200SMA,5,85.9,85.8,100.0,100.0
>30% below 52w-high,9,78.9,80.7,100.0,100.0
VIX 30-35,7,74.0,69.9,100.0,100.0
VIX > 35,6,73.9,71.1,83.0,100.0
RSI 30-35,7,64.9,62.3,71.0,100.0
10-20% below 200SMA,25,60.3,61.3,100.0,100.0
VIX 25-30,10,55.6,43.4,60.0,90.0
20-30% below 52w-high,53,51.1,46.8,70.0,100.0
0-10% below 200SMA,26,45.4,43.2,77.0,100.0
5d drop 10-15%,17,35.6,45.5,47.0,94.0
RSI 35-40,23,35.6,34.3,39.0,91.0
Volume 1.5-2x avg,28,34.3,30.8,36.0,79.0
VIX 20-25,58,33.6,29.0,47.0,81.0
RSI 40-45,46,24.7,25.8,28.0,83.0
5d drop 5-10%,50,22.9,26.9,34.0,78.0
5d drop > 15%,6,21.5,24.9,0.0,100.0
10-20% below 52w-high,70,18.6,20.6,20.0,90.0
VIX < 20,387,12.8,18.6,17.0,77.0
3-4 consec down days,29,10.7,19.4,17.0,72.0
