date,stack,rejection_found,rejection_ema,entry_time,entry_price,max_favorable_pct,eod_pct,trend_continued,hit_050,hit_075,hit_100
2025-12-31,bearish,True,EMA9,10:35:00,188.89,-0.96,-0.82,True,True,True,False
2026-01-05,bullish,True,EMA48,10:35:00,189.71,0.62,-1.19,False,True,False,False
2026-01-06,bullish,True,EMA48,11:30:00,189.27,0.23,-1.1,False,False,False,False
2026-01-07,bullish,True,EMA48,10:35:00,189.21,0.75,-0.11,False,True,True,False
2026-01-08,bearish,True,EMA9,10:35:00,186.29,-1.38,-0.54,True,True,True,True
2026-01-09,bearish,True,EMA48,10:40:00,184.55,-0.13,0.56,False,False,False,False
2026-01-12,bearish,True,EMA9,11:00:00,184.4,-0.04,0.78,False,False,False,False
2026-01-13,bearish,True,EMA9,10:35:00,183.92,-0.28,0.38,False,False,False,False
2026-01-14,bearish,True,EMA9,10:40:00,182.04,-0.66,0.29,False,True,False,False
2026-01-15,bullish,True,EMA9,10:35:00,187.96,0.93,-0.31,False,True,True,False
2026-01-16,bullish,True,EMA9,10:55:00,188.05,0.19,-0.16,False,False,False,False
2026-01-20,bearish,True,EMA9,11:15:00,180.68,-1.29,-1.09,True,True,True,True
2026-01-22,bullish,True,EMA9,10:40:00,184.96,0.65,-0.49,False,True,False,False
2026-01-23,bullish,True,EMA9,10:40:00,187.81,0.32,-0.24,False,False,False,False
2026-01-27,bullish,True,EMA9,11:00:00,189.64,0.19,-0.2,False,False,False,False
2026-01-28,bullish,True,EMA9,11:00:00,191.29,0.54,0.01,True,True,False,False
2026-02-03,bearish,True,EMA9,10:50:00,180.38,-2.3,-0.53,True,True,True,True
2026-02-04,bearish,True,EMA9,10:40:00,176.9,-2.82,-0.83,True,True,True,True
2026-02-05,bearish,True,EMA9,10:45:00,172.21,-0.22,-0.0,True,False,False,False
2026-02-09,bullish,True,EMA9,10:40:00,191.66,3.69,-1.0,False,True,True,True
2026-02-11,bullish,True,EMA48,10:35:00,190.39,0.99,0.33,True,True,True,False
2026-02-12,bullish,True,EMA9,11:35:00,188.82,0.91,-0.72,False,True,True,False
2026-02-13,bearish,True,EMA9,10:35:00,183.88,-1.08,-1.07,True,True,True,True
2026-02-17,bearish,True,EMA9,12:10:00,183.68,-0.03,0.81,False,False,False,False
2026-02-18,bullish,True,EMA9,10:50:00,189.68,0.36,-1.2,False,False,False,False
2026-02-20,bullish,True,EMA9,10:35:00,188.27,1.09,0.66,True,True,True,True
2026-02-23,bullish,True,EMA48,11:25:00,190.5,0.66,0.42,True,True,False,False
2026-02-24,bullish,True,EMA9,11:45:00,192.31,0.75,0.32,True,True,False,False
2026-02-25,bullish,True,EMA9,10:35:00,195.79,0.94,0.54,True,True,True,False
2026-02-26,bearish,True,EMA9,11:35:00,187.35,-1.62,-1.15,True,True,True,True
2026-02-27,bearish,True,EMA9,10:45:00,181.43,-1.84,-1.73,True,True,True,True
2026-03-03,bearish,True,EMA48,12:05:00,179.74,-0.42,0.28,False,False,False,False
2026-03-09,bearish,True,EMA48,10:35:00,178.68,-0.04,2.01,False,False,False,False
2026-03-10,bullish,True,EMA9,11:35:00,185.7,0.29,-0.83,False,False,False,False
2026-03-11,bullish,True,EMA9,10:55:00,186.43,0.18,-0.51,False,False,False,False
2026-03-18,bearish,True,EMA48,10:35:00,182.41,-0.84,-0.7,True,True,True,False
2026-03-19,bearish,True,EMA9,10:35:00,177.88,-0.18,0.39,False,False,False,False
2026-03-20,bearish,True,EMA9,10:35:00,175.68,-1.95,-1.92,True,True,True,True
2026-03-24,bearish,True,EMA9,10:35:00,174.32,-0.07,0.59,False,False,False,False
2026-03-25,bullish,True,EMA9,11:00:00,180.29,0.0,-1.07,False,False,False,False
2026-03-26,bearish,True,EMA9,10:40:00,173.96,-1.38,-1.17,True,True,True,True
2026-03-27,bearish,True,EMA9,11:10:00,168.62,-0.83,-0.73,True,True,True,False
