date,stack,signal_price,end_price,price_change,price_change_pct,max_move_up_pct,max_move_down_pct,max_favorable_pct,trend_continued,continuation_pass,open_to_signal_pct,still_falling,is_new_low,signal_bar_red,ema9,ema48,ema200
2025-12-31,bearish,188.93,187.34,-1.59,-0.84,0.19,-0.98,-0.98,True,False,-0.29,False,False,True,188.9,189.63,190.03
2026-01-02,neutral,190.82,188.78,-2.04,-1.07,0.48,-1.34,,,False,0.34,True,False,False,190.78,189.4,189.45
2026-01-05,bullish,190.04,187.45,-2.59,-1.37,0.44,-2.05,0.44,False,False,-1.4,True,False,True,190.06,189.62,189.49
2026-01-06,bullish,190.85,187.19,-3.66,-1.92,0.09,-2.11,0.09,False,False,0.18,True,False,True,191.03,189.13,189.03
2026-01-07,bullish,190.57,189.01,-1.56,-0.82,0.2,-1.1,0.2,False,False,1.06,False,False,True,190.3,188.82,188.82
2026-01-08,bearish,186.43,185.29,-1.14,-0.61,0.28,-1.46,-1.46,True,False,-1.36,False,False,False,186.3,188.12,188.86
2026-01-09,bearish,185.28,185.59,0.3,0.16,0.57,-0.53,-0.53,False,False,0.15,False,False,False,184.79,184.86,186.63
2026-01-12,bearish,184.04,185.84,1.8,0.98,1.68,-0.17,-0.17,False,False,0.46,True,False,True,184.71,185.18,185.88
2026-01-13,bearish,183.96,184.62,0.66,0.36,2.26,-0.3,-0.3,False,False,-0.54,True,True,False,184.15,185.27,185.72
2026-01-14,bearish,181.88,182.56,0.68,0.37,0.43,-0.58,-0.58,False,False,-1.04,False,False,False,182.08,183.76,185.05
2026-01-15,bullish,188.21,187.37,-0.84,-0.45,0.79,-0.73,0.79,False,False,0.72,True,False,False,187.8,184.67,184.13
2026-01-16,bullish,188.1,187.74,-0.36,-0.19,0.17,-0.54,0.17,False,False,-0.39,True,True,False,188.45,188.39,186.5
2026-01-20,bearish,181.32,178.71,-2.6,-1.44,0.17,-1.63,-1.63,True,False,-0.32,False,False,False,180.88,184.72,186.32
2026-01-21,neutral,181.15,184.53,3.38,1.86,2.33,-1.08,,,False,1.17,False,False,False,180.53,179.93,182.78
2026-01-22,bullish,184.93,184.05,-0.88,-0.48,0.67,-0.51,0.67,False,False,0.1,False,False,False,184.62,183.45,182.73
2026-01-23,bullish,187.61,187.36,-0.25,-0.13,0.43,-0.26,0.43,False,False,0.06,True,False,True,187.45,185.83,184.2
2026-01-26,neutral,187.24,186.36,-0.88,-0.47,0.19,-0.67,,,False,0.09,True,False,True,187.41,187.53,186.08
2026-01-27,bullish,189.29,189.26,-0.04,-0.02,0.37,-0.21,0.37,False,False,1.1,False,False,False,188.51,187.18,186.52
2026-01-28,bullish,191.2,191.32,0.12,0.06,0.59,-0.71,0.59,True,False,-0.05,True,False,True,191.47,190.22,188.36
2026-01-29,neutral,188.37,191.22,2.85,1.52,1.67,-1.22,,,False,-1.55,True,True,True,189.36,190.82,189.88
2026-02-03,bearish,179.84,179.43,-0.41,-0.23,0.62,-2.01,-2.01,True,False,-3.43,True,False,True,181.05,185.76,188.64
2026-02-04,bearish,176.26,175.44,-0.82,-0.47,0.73,-2.47,-2.47,True,True,-1.77,True,True,True,177.52,178.72,183.32
2026-02-05,bearish,171.82,172.2,0.38,0.22,2.3,-0.07,-0.07,False,False,-1.77,True,False,False,172.71,174.31,178.44
2026-02-06,neutral,182.89,185.46,2.57,1.41,1.48,-0.53,,,False,3.51,False,False,False,180.83,176.37,176.68
2026-02-09,bullish,191.2,189.74,-1.46,-0.76,3.94,-0.82,3.94,False,False,3.86,False,False,False,191.03,187.21,181.69
2026-02-10,neutral,188.98,188.92,-0.06,-0.03,0.78,-0.29,,,False,-1.27,False,False,True,189.1,190.0,186.57
2026-02-11,bullish,189.67,191.01,1.34,0.71,1.38,-0.12,1.38,True,False,-1.43,True,False,False,190.03,189.87,188.26
2026-02-12,bullish,190.93,187.46,-3.47,-1.82,0.02,-1.94,0.02,False,False,-1.09,True,False,True,191.4,191.39,190.0
2026-02-13,bearish,184.87,181.92,-2.95,-1.6,0.17,-1.61,-1.61,True,False,-1.38,False,False,False,184.02,186.69,188.8
2026-02-17,bearish,179.82,185.16,5.34,2.97,4.08,-0.31,-0.31,False,False,-1.05,True,False,True,180.42,182.32,185.63
2026-02-18,bullish,189.36,187.41,-1.95,-1.03,0.53,-1.37,0.53,False,False,0.32,True,False,True,189.17,186.75,185.71
2026-02-19,neutral,188.36,187.22,-1.14,-0.61,0.04,-1.36,,,False,0.71,False,False,False,187.67,187.78,187.12
2026-02-20,bullish,187.88,189.51,1.63,0.87,1.3,-0.13,1.3,True,False,0.73,False,False,False,187.73,187.26,187.07
