RSI,Dist_52w,Dist_200MA,Count,Median_Fwd90,Mean_Fwd90,Pct_40plus,Pct_Pos,Med_VIX,Med_Consec,Med_Chg5d
RSI 35-40,20-30% below,10-20% below,6,56.3,57.4,100.0,100.0,23.1,1.0,-8.9
RSI>50,20-30% below,10-20% below,6,55.7,56.4,100.0,100.0,24.8,0.0,9.8
RSI>50,20-30% below,0-10% below,7,53.6,52.4,100.0,100.0,23.5,0.0,4.1
RSI>50,10-20% below,0-10% above,8,38.2,29.6,50.0,100.0,18.2,1.0,1.4
RSI>50,<10% below,0-10% above,10,32.4,32.9,10.0,100.0,18.5,0.0,5.4
RSI 40-45,20-30% below,>20% above,7,25.9,27.0,0.0,100.0,20.7,0.0,-3.9
RSI>50,<10% below,10-20% above,31,25.9,19.0,6.0,74.0,17.2,0.0,3.7
RSI 40-45,10-20% below,>20% above,8,25.7,30.7,25.0,100.0,16.7,1.0,-4.7
RSI 45-50,10-20% below,>20% above,13,19.2,25.0,23.0,100.0,15.9,0.0,-3.2
RSI 40-45,10-20% below,0-10% above,5,15.5,16.3,0.0,100.0,16.4,0.0,-9.2
RSI 45-50,10-20% below,0-10% above,5,12.8,16.2,0.0,100.0,16.5,0.0,3.2
RSI>50,10-20% below,>20% above,14,10.2,10.7,0.0,93.0,16.6,0.0,4.6
RSI>50,<10% below,>20% above,255,9.5,18.0,18.0,75.0,14.9,0.0,3.5
RSI 40-45,<10% below,>20% above,7,8.3,-0.7,0.0,71.0,15.3,2.0,-5.0
RSI 45-50,<10% below,>20% above,17,-0.6,-0.9,6.0,47.0,17.9,2.0,-4.0
RSI 45-50,<10% below,10-20% above,9,-3.2,12.6,22.0,22.0,16.1,1.0,-2.8
